,Gene,Tissue,Condition,Average_Spearman,Degree,WeightedDegree
6023,FBgn0040571,head,ctrl,0.14823726061866055,934,0.14823726061866055
6024,FBgn0015622,head,ctrl,0.20558883113908474,2531,0.20558883113908474
6025,FBgn0031065,head,ctrl,0.15926444446310567,1380,0.15926444446310567
6026,FBgn0031327,head,ctrl,0.14625396610709934,792,0.14625396610709934
6027,FBgn0028979,head,ctrl,0.13250134037278252,163,0.13250134037278252
6028,FBgn0040524,head,ctrl,0.15302812213522102,1070,0.15302812213522102
6029,FBgn0028671,head,ctrl,0.1718862866338738,1465,0.1718862866338738
6030,FBgn0265974,head,ctrl,0.20239485067880522,2928,0.20239485067880522
6031,FBgn0037105,head,ctrl,0.13654327422465612,295,0.13654327422465612
6032,FBgn0038271,head,ctrl,0.21600438342992143,3306,0.21600438342992143
6033,FBgn0037878,head,ctrl,0.14711708931741965,721,0.14711708931741965
6034,FBgn0010355,head,ctrl,0.15922268581666624,1528,0.15922268581666624
6035,FBgn0024188,head,ctrl,0.16400447482527733,1724,0.16400447482527733
6036,FBgn0005695,head,ctrl,0.13910890760223746,533,0.13910890760223746
6037,FBgn0030883,head,ctrl,0.1676238856891581,1438,0.1676238856891581
6038,FBgn0035610,head,ctrl,0.1409589901904424,657,0.1409589901904424
6039,FBgn0029088,head,ctrl,0.13591679784005897,333,0.13591679784005897
6040,FBgn0034093,head,ctrl,0.1357766819901981,55,0.1357766819901981
6041,FBgn0052758,head,ctrl,0.22272590614368332,3274,0.22272590614368332
6042,FBgn0001989,head,ctrl,0.20978131494192334,3077,0.20978131494192334
6043,FBgn0005626,head,ctrl,0.21848395301163015,3225,0.21848395301163015
6044,FBgn0052250,head,ctrl,0.15986382726890996,1504,0.15986382726890996
6045,FBgn0035266,head,ctrl,0.17418827838449696,1136,0.17418827838449696
6046,FBgn0001169,head,ctrl,0.1786640879287991,2246,0.1786640879287991
6047,FBgn0085410,head,ctrl,0.14298670894913776,759,0.14298670894913776
6048,FBgn0010905,head,ctrl,0.194954268196228,2613,0.194954268196228
