Geneid,SYMBOL,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
FBgn0036698,CG7724,head,-0.21684390153451216,0.13619103288413004,0.9002803671118549,0.07913045104819214,0.09971963288814512,0.02075504734673876,0.02058918183995298,0.00479454831756284,-0.16451157833432048,0.12136104459544654
FBgn0011293,a10,head,1.021191401305494,0.40259711435950374,0.08061537929698723,0.9079029844275992,0.0920970155724008,0.018646627664192637,0.011481636275413577,0.0023154374369432924,0.33415041525830114,0.2745452428295109
FBgn0036684,CG3764,head,0.19221368741294637,0.10575453532568976,0.0462408348309028,0.9371108847626102,0.06288911523738981,0.011829339934012988,0.01664828040648701,0.0036165212104821015,0.16061173873624957,0.09907666880085726
FBgn0028693,Rpn12,head,0.006886227221758981,0.09387996896673136,0.43921806198069935,0.4900827675794437,0.5099172324205563,0.14361800645022973,0.07069917043985698,0.021739246200094653,0.005606993212384383,0.08472673366525368
FBgn0052163,CG32163,head,-0.11306143142065901,0.16534725926046787,0.6877019396806839,0.2726796756663755,0.31229806031931606,0.07719703158021822,0.03961838465294053,0.011469882177561478,-0.0759100426814479,0.13648436799012953
FBgn0042178,Apl,head,-0.2974680125913599,0.18919133234043514,0.8783599157966493,0.10197509823532822,0.1216400842033507,0.025848935548176865,0.019664985968022484,0.004500400383771737,-0.1880553233892845,0.15391765601707183
FBgn0042177,Arts,head,0.33299115280249814,0.19102042790286947,0.08065934177489933,0.9029020288323962,0.0970979711676038,0.019870787766374194,0.01643862939270447,0.0035729424689156563,0.21020265047050715,0.15569865565877222
FBgn0025558,CG4101,head,-0.3431326539183135,0.12790641430395627,0.9883305030412226,0.008327142446694708,0.011669496958777392,0.0016455491865447584,0.0033423545120826845,5.09116719611985e-4,-0.273350189608819,0.11619219488029209
FBgn0000414,Dab,head,0.15747766158524643,0.08179702281898037,0.03311521090809219,0.9509791542189768,0.04902084578102311,0.00895723527437473,0.015905634872930917,0.003440394748803919,0.14004481511293979,0.07922819707232269
FBgn0036659,CG9701,head,0.056957288449104235,0.14442366731626047,0.3486620897635368,0.6032282570449645,0.3967717429550355,0.10481380642975222,0.04810965319149866,0.016146115241845647,0.04074352300970969,0.12251860332472456
FBgn0036661,CG9705,head,-0.015802700167561204,0.10826429712299761,0.5185975155055647,0.4187338118108803,0.48140248449443535,0.13436102305292688,0.06266867268355503,0.02054778193521369,-0.012474427714380693,0.09624522406539789
FBgn0036662,CG9706,head,-0.014532645658830695,0.1485058989161735,0.5070348129144394,0.44327018608548285,0.4929651870855606,0.13830842980337232,0.049695001000077704,0.016898914101202926,-0.010232957235001663,0.124639182117005
FBgn0036666,TSG101,head,-0.1283758884223721,0.08548495020257034,0.8952801540437129,0.07541143931068041,0.10471984595628714,0.021661440875485043,0.02930840664560673,0.007244734187806979,-0.11159083244010316,0.08207128808277948
FBgn0036668,Zcchc7,head,-0.02606906369278067,0.1324778163218008,0.5386640413648491,0.40795638192118583,0.46133595863515087,0.12689941617737666,0.05337957671396502,0.018253660956741847,-0.01929173081201298,0.11406026656140308
