Gene	Tissue	Condition	V(G)	V(e)	Vp	h2
FBgn0025628	head	ctrl	0.056571	0.2735	0.330071	0.17139
FBgn0025626	head	ctrl	0.079382	0.749059	0.828441	0.095821
FBgn0025625	head	ctrl	0.116519	1.198291	1.314811	0.088621
FBgn0000667	head	ctrl	0.028009	0.314426	0.342434	0.081793
FBgn0023545	head	ctrl	0.056288	1.082421	1.138709	0.049431
FBgn0023520	head	ctrl	0.024015	1.137433	1.161448	0.020677
FBgn0023512	head	ctrl	0.065518	1.150197	1.215716	0.053893
FBgn0023511	head	ctrl	0.079631	0.665612	0.745243	0.106852
FBgn0026088	head	ctrl	0.136756	0.730712	0.867468	0.157649
FBgn0026089	head	ctrl	0.004401	0.368721	0.373123	0.011796
FBgn0023517	head	ctrl	1e-06	0.642411	0.642412	1e-06
FBgn0023516	head	ctrl	0.073943	1.139279	1.213222	0.060947
FBgn0028969	head	ctrl	0.006038	0.232696	0.238734	0.025291
FBgn0026090	head	ctrl	0.003771	0.272877	0.276648	0.013632
FBgn0040395	head	ctrl	0.006814	0.171698	0.178512	0.03817
FBgn0000382	head	ctrl	0.015943	0.123103	0.139045	0.114657
FBgn0023507	head	ctrl	0.304222	0.170601	0.474823	0.640706
FBgn0004654	head	ctrl	0.01384	1.071271	1.085111	0.012754
FBgn0023540	head	ctrl	0.107308	0.456978	0.564286	0.190167
FBgn0025839	head	ctrl	0.024242	0.330793	0.355035	0.068282
FBgn0040899	head	ctrl	0.018648	0.472098	0.490746	0.038
FBgn0040900	head	ctrl	0.237344	1.411403	1.648748	0.143954
FBgn0023549	head	ctrl	1e-06	0.868964	0.868964	1e-06
FBgn0003048	head	ctrl	2e-06	1.456191	1.456193	1e-06
FBgn0000810	head	ctrl	0.016787	0.720032	0.736819	0.022783
FBgn0003079	head	ctrl	0.214766	0.415743	0.63051	0.340623
FBgn0003159	head	ctrl	0.027345	0.384879	0.412223	0.066334
FBgn0040389	head	ctrl	0.067656	0.402724	0.470381	0.143833
FBgn0023526	head	ctrl	0.002863	0.193998	0.196861	0.014545
FBgn0023529	head	ctrl	0.032823	0.287489	0.320313	0.102473
FBgn0023528	head	ctrl	1e-06	0.92261	0.92261	1e-06
FBgn0027296	head	ctrl	0.019092	0.496756	0.515847	0.03701
FBgn0023524	head	ctrl	0.046745	0.64571	0.692455	0.067506
FBgn0023525	head	ctrl	0.026043	0.502988	0.529032	0.049228
FBgn0000377	head	ctrl	1e-06	0.870654	0.870655	1e-06
FBgn0004397	head	ctrl	0.027103	0.332628	0.359731	0.075344
FBgn0004655	head	ctrl	0.021071	0.459291	0.480362	0.043865
FBgn0013432	head	ctrl	1e-06	1.146485	1.146486	1e-06
FBgn0004861	head	ctrl	0.024511	0.636468	0.66098	0.037083
FBgn0004860	head	ctrl	1e-06	1.254351	1.254352	1e-06
FBgn0040066	head	ctrl	0.041788	0.693814	0.735602	0.056808
FBgn0001404	head	ctrl	0.01675	0.161551	0.178302	0.093942
FBgn0040334	head	ctrl	0.013317	1.091784	1.105101	0.012051
FBgn0029629	head	ctrl	0.03827	0.233192	0.271462	0.140976
FBgn0040375	head	ctrl	0.055413	1.163465	1.218878	0.045462
FBgn0040377	head	ctrl	0.08796	0.643141	0.731101	0.120312
FBgn0040388	head	ctrl	0.060423	1.422444	1.482867	0.040747
FBgn0003714	head	ctrl	0.018698	0.3582	0.376897	0.04961
FBgn0003371	head	ctrl	0.022019	0.131749	0.153768	0.143198
FBgn0003068	head	ctrl	0.039021	1.613874	1.652895	0.023608
FBgn0024996	head	ctrl	0	0.357306	0.357307	1e-06
FBgn0024997	head	ctrl	0.392662	0.652141	1.044802	0.375824
FBgn0000520	head	ctrl	0.077712	1.169849	1.247562	0.062292
FBgn0024980	head	ctrl	0.044615	0.968173	1.012788	0.044052
FBgn0024973	head	ctrl	0.022816	0.703247	0.726062	0.031424
FBgn0024998	head	ctrl	0.085618	1.088413	1.174031	0.072926
FBgn0024994	head	ctrl	1e-06	0.765648	0.765648	1e-06
FBgn0024992	head	ctrl	1e-06	0.669998	0.669998	1e-06
FBgn0004647	head	ctrl	0	0.3325	0.3325	1e-06
FBgn0040396	head	ctrl	0.005004	0.548338	0.553342	0.009042
FBgn0000479	head	ctrl	0.295892	0.178433	0.474325	0.623818
FBgn0028746	head	ctrl	0.06696	0.406629	0.473589	0.141389
FBgn0028369	head	ctrl	0.017276	0.200644	0.21792	0.079276
FBgn0023215	head	ctrl	0	0.282043	0.282043	1e-06
FBgn0015286	head	ctrl	0.022817	0.276487	0.299304	0.076233
FBgn0023216	head	ctrl	2e-06	1.786081	1.786083	1e-06
FBgn0052791	head	ctrl	1e-06	1.246935	1.246936	1e-06
FBgn0028491	head	ctrl	1e-06	1.044929	1.04493	1e-06
FBgn0028665	head	ctrl	0.017597	0.080565	0.098162	0.17926
FBgn0029686	head	ctrl	0.45576	1.369042	1.824802	0.249759
FBgn0029687	head	ctrl	0.015468	0.091067	0.106535	0.14519
FBgn0029689	head	ctrl	1e-06	0.952547	0.952548	1e-06
FBgn0029688	head	ctrl	0.017523	0.204722	0.222245	0.078845
