Geneid,SYMBOL,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
FBgn0086450,su(r),body,-0.3568119349855575,0.29935227922566904,0.6196252622971243,0.20568738876266318,0.38037473770287566,0.2086151757862844,0.17468734894021248,0.10331633869261739,-0.09836125901948548,0.16759155372549275
FBgn0086451,l(2)k09022,body,-0.0232634781299208,0.2322067155736993,0.406656204700656,0.36613413014939244,0.593343795299344,0.3770459466535361,0.22720966514995153,0.160087113585732,-0.007853236524412758,0.13499936966129755
FBgn0086472,RpS25,body,0.18002224726482008,0.08638136441825281,0.02589999330405482,0.8906397522084926,0.10936024779150752,0.038749830245568585,0.0834602544874527,0.032568827660199626,0.13883516761271178,0.0871431802297915
FBgn0086558,Ubi-p5E,body,-0.09239573980079308,0.10862355057202491,0.5694799277428763,0.16871409225040024,0.43052007225712374,0.24587052197236764,0.2618059800067235,0.16883947757979756,-0.05231022410533208,0.08764969469160241
FBgn0086605,CG9853,body,-0.08094646934131955,0.20983219300947317,0.4663654093021489,0.30417088393759567,0.533634590697851,0.32729645622602704,0.22946370676025535,0.16105000709895623,-0.030226697833554094,0.12948777721105165
FBgn0086613,Ino80,body,-0.25379922109672437,0.2820646418427088,0.5673875310839243,0.24125035729739833,0.43261246891607574,0.24797030650194649,0.19136211161867742,0.12380589950485953,-0.07286293244630022,0.157181345685263
FBgn0086655,jing,body,0.25390432762508186,0.2841904756333003,0.2429615425998822,0.5655725140512335,0.43442748594876646,0.24947192479130256,0.19146594334888425,0.1239828288511157,0.07221875048997874,0.15752961955841427
FBgn0086656,shrb,body,-0.05438615734227015,0.14765047733938524,0.4528213354665331,0.28222262819756255,0.5471786645334669,0.33893855466736994,0.2649560363359043,0.1693027643112894,-0.02580352154913612,0.10296232685902625
FBgn0086657,IKKepsilon,body,-0.537322940801427,0.2310189643130929,0.8659962859973086,0.054761290389967354,0.1340037140026914,0.05092164808526115,0.07924242361272404,0.030536683797690884,-0.23518670999051489,0.1807574555630163
FBgn0086674,Tpst,body,-0.37127748752105294,0.29817466111191865,0.6303726565417322,0.19803928094467355,0.36962734345826775,0.2002858767954488,0.1715880625135942,0.09989338753731841,-0.10348395393156191,0.16875023650207077
FBgn0086675,fne,body,-0.024589222249108644,0.462036190566875,0.4102179641946424,0.39606151381386556,0.5897820358053576,0.3741325120969188,0.193720521991492,0.1278021381657139,-0.0035465880499074196,0.17549413930316893
FBgn0086676,spin,body,-0.07821932428654921,0.1624337037617205,0.48491227482305943,0.2664829148603469,0.5150877251769406,0.3130169363536798,0.24860481031659368,0.1665934609429192,-0.035481488102330684,0.11147589579318756
FBgn0086679,p,body,0.367890188699014,0.25092589339469884,0.14909241163662942,0.6954794591064624,0.3045205408935376,0.15115065438103548,0.15542812925690816,0.08437258452170283,0.12872896516212584,0.1630288445106242
