	Nested_Level	Block	Path	Direction	N_genes	Internal_degree	Average_internal_degree	Total_degree	Average_total_degree	Assortativity
136	1	136	136-8-8-3-1	decohere	30	210.0	7.0	16559.0	551.9666666666667	-0.06634223121763795
137	1	137	137-6-6-4-0	decohere	44	0.0	0.0	1506.0	34.22727272727273	-0.0010538818411466432
138	1	138	138-19-5-3-1	decohere	25	4.0	0.16	489.0	19.56	0.0010521212172870111
139	1	139	139-38-5-3-1	decohere	82	2.0	0.024390243902439025	216.0	2.6341463414634148	0.0005599369354248598
140	1	140	140-29-2-1-1	decohere	38	182.0	4.7894736842105265	9646.0	253.8421052631579	0.0096919941143545
141	1	141	141-34-2-1-1	decohere	34	4.0	0.11764705882352941	9529.0	280.2647058823529	-0.04102940045734599
142	1	142	142-35-10-0-0	decohere	36	2.0	0.05555555555555555	375.0	10.416666666666666	0.0005162726273050994
143	1	143	143-6-6-4-0	decohere	30	16.0	0.5333333333333333	3827.0	127.56666666666666	-0.002152550626265481
144	1	144	144-21-7-3-1	decohere	40	78.0	1.95	6693.0	167.325	0.0018676957187251568
145	1	145	145-41-11-1-1	decohere	24	0.0	0.0	293.0	12.208333333333334	-3.9891210801150496e-05
146	1	146	146-20-8-3-1	decohere	20	66.0	3.3	9965.0	498.25	-0.02694867522479442
147	1	147	147-11-4-3-1	decohere	24	76.0	3.1666666666666665	5597.0	233.20833333333334	0.007545071536700227
148	1	148	148-31-12-4-0	decohere	23	0.0	0.0	376.0	16.347826086956523	-6.569278405366927e-05
149	1	149	149-32-12-4-0	decohere	48	0.0	0.0	172.0	3.5833333333333335	-1.3746713186423097e-05
150	1	150	150-37-4-3-1	decohere	22	8.0	0.36363636363636365	999.0	45.40909090909091	0.0018627274974775483
151	1	151	151-13-9-2-0	decohere	65	36.0	0.5538461538461539	5126.0	78.86153846153846	-0.0017404405769805172
152	1	152	152-25-11-1-1	decohere	22	0.0	0.0	609.0	27.681818181818183	-0.00017233622002750756
153	1	153	153-39-5-3-1	decohere	14	0.0	0.0	660.0	47.142857142857146	-0.00020240901379143798
154	1	154	154-19-5-3-1	decohere	40	10.0	0.25	1510.0	37.75	0.0018485946458832725
