,Gene,Tissue,Condition,Average_Spearman,Degree,WeightedDegree
4251,FBgn0267385,head,hs,0.17135568604485707,1779,0.17135568604485707
4252,FBgn0039742,head,hs,0.14496301779145432,637,0.14496301779145432
4253,FBgn0014906,head,hs,0.12770802457002947,431,0.12770802457002947
4254,FBgn0039636,head,hs,0.12515142145888325,211,0.12515142145888325
4255,FBgn0003044,head,hs,0.12525607973829642,331,0.12525607973829642
4256,FBgn0038279,head,hs,0.1363395565767855,886,0.1363395565767855
4257,FBgn0015393,head,hs,0.20386153713181263,3137,0.20386153713181263
4258,FBgn0030686,head,hs,0.13422768081030279,508,0.13422768081030279
4259,FBgn0043362,head,hs,0.2086779516126583,3111,0.2086779516126583
4260,FBgn0031266,head,hs,0.12970606670759377,249,0.12970606670759377
4261,FBgn0259740,head,hs,0.15002623041103635,970,0.15002623041103635
4262,FBgn0031902,head,hs,0.14939029796605421,1309,0.14939029796605421
4263,FBgn0029997,head,hs,0.20238235691395634,2901,0.20238235691395634
4264,FBgn0001180,head,hs,0.13627164489687377,925,0.13627164489687377
4265,FBgn0031937,head,hs,0.16030690889413335,994,0.16030690889413335
4266,FBgn0259099,head,hs,0.18567235126426526,2722,0.18567235126426526
4267,FBgn0031005,head,hs,0.1455309372734389,1117,0.1455309372734389
4268,FBgn0031643,head,hs,0.1309952648973098,476,0.1309952648973098
4269,FBgn0034215,head,hs,0.19542703190539987,2584,0.19542703190539987
4270,FBgn0051223,head,hs,0.1275349169363314,353,0.1275349169363314
4271,FBgn0013548,head,hs,0.12783558075120557,264,0.12783558075120557
4272,FBgn0034933,head,hs,0.12742298740134297,287,0.12742298740134297
4273,FBgn0021847,head,hs,0.15040740589522572,1778,0.15040740589522572
4274,FBgn0032214,head,hs,0.14227382765885846,1190,0.14227382765885846
4275,FBgn0011676,head,hs,0.19091930378506453,2672,0.19091930378506453
4276,FBgn0000119,head,hs,0.17776240276229008,2550,0.17776240276229008
4277,FBgn0036007,head,hs,0.1902205231919357,2525,0.1902205231919357
4278,FBgn0036745,head,hs,0.1548228183860312,1583,0.1548228183860312
4279,FBgn0036557,head,hs,0.14535944320943495,1169,0.14535944320943495
4280,FBgn0034985,head,hs,0.14083085858790817,1057,0.14083085858790817
4281,FBgn0031314,head,hs,0.12276864215214621,68,0.12276864215214621
4282,FBgn0046247,head,hs,0.13013417817955036,223,0.13013417817955036
4283,FBgn0053526,head,hs,0.14345640043994143,1032,0.14345640043994143
4284,FBgn0266409,head,hs,0.15301491578822796,1031,0.15301491578822796
4285,FBgn0041181,head,hs,0.13435285759354318,583,0.13435285759354318
4286,FBgn0034307,head,hs,0.1200617647195616,70,0.1200617647195616
4287,FBgn0032684,head,hs,0.14972651592741532,1096,0.14972651592741532
4288,FBgn0013469,head,hs,0.1486847582097954,914,0.1486847582097954
4289,FBgn0029950,head,hs,0.1359133917771586,82,0.1359133917771586
4290,FBgn0038805,head,hs,0.14119462787210676,1135,0.14119462787210676
4291,FBgn0036811,head,hs,0.1311183800023283,612,0.1311183800023283
4292,FBgn0036691,head,hs,0.13515315954581844,881,0.13515315954581844
4293,FBgn0043005,head,hs,0.1489866078475477,1465,0.1489866078475477
4294,FBgn0038455,head,hs,0.12541458248000031,19,0.12541458248000031
4295,FBgn0026179,head,hs,0.2180843374122066,3559,0.2180843374122066
4296,FBgn0029930,head,hs,0.20078834344171592,2994,0.20078834344171592
4297,FBgn0031245,head,hs,0.16108031969697828,1190,0.16108031969697828
4298,FBgn0001291,head,hs,0.13498461329285072,680,0.13498461329285072
4299,FBgn0042627,head,hs,0.13690188646926477,718,0.13690188646926477
4300,FBgn0031118,head,hs,0.2025568368243102,2609,0.2025568368243102
4301,FBgn0028692,head,hs,0.13901309666239492,542,0.13901309666239492
4302,FBgn0022935,head,hs,0.12220217422849033,38,0.12220217422849033
4303,FBgn0262614,head,hs,0.22196551419996452,3285,0.22196551419996452
4304,FBgn0038299,head,hs,0.183907908872998,2046,0.183907908872998
4305,FBgn0034452,head,hs,0.12237132643775057,172,0.12237132643775057
4306,FBgn0035827,head,hs,0.1378221802706929,830,0.1378221802706929
4307,FBgn0034172,head,hs,0.12717402206035058,209,0.12717402206035058
4308,FBgn0038498,head,hs,0.21988972672239365,3265,0.21988972672239365
4309,FBgn0031114,head,hs,0.1268513202988686,222,0.1268513202988686
4310,FBgn0028387,head,hs,0.13847719986065057,1143,0.13847719986065057
4311,FBgn0003867,head,hs,0.17311282062553887,1100,0.17311282062553887
4312,FBgn0083961,head,hs,0.1316032311780222,447,0.1316032311780222
4313,FBgn0023174,head,hs,0.19349406349294088,2844,0.19349406349294088
4314,FBgn0263873,head,hs,0.2206980385184432,3484,0.2206980385184432
4315,FBgn0041191,head,hs,0.1653349300753978,1671,0.1653349300753978
4316,FBgn0022786,head,hs,0.12111194396157797,30,0.12111194396157797
4317,FBgn0053120,head,hs,0.1928293432954967,2098,0.1928293432954967
4318,FBgn0035348,head,hs,0.1705573739977631,1987,0.1705573739977631
4319,FBgn0031634,head,hs,0.12711551122871673,119,0.12711551122871673
4320,FBgn0026148,head,hs,0.12336587527619035,132,0.12336587527619035
4321,FBgn0035533,head,hs,0.17136905743776593,2195,0.17136905743776593
4322,FBgn0030851,head,hs,0.13752700869413684,971,0.13752700869413684
4323,FBgn0037084,head,hs,0.16907568500686807,1979,0.16907568500686807
4324,FBgn0032476,head,hs,0.12857696120581957,385,0.12857696120581957
4325,FBgn0031979,head,hs,0.12052579638291509,54,0.12052579638291509
4326,FBgn0045842,head,hs,0.1269928505604747,195,0.1269928505604747
4327,FBgn0014411,head,hs,0.12222225805708023,73,0.12222225805708023
4328,FBgn0030063,head,hs,0.1424161753135994,1184,0.1424161753135994
4329,FBgn0005619,head,hs,0.15460141781255965,1485,0.15460141781255965
4330,FBgn0037801,head,hs,0.1582535803492547,1394,0.1582535803492547
4331,FBgn0086757,head,hs,0.12360654275582951,195,0.12360654275582951
4332,FBgn0037552,head,hs,0.1413493566114588,771,0.1413493566114588
4333,FBgn0036373,head,hs,0.15339852258485873,1461,0.15339852258485873
4334,FBgn0034636,head,hs,0.1879915032683877,2615,0.1879915032683877
4335,FBgn0010415,head,hs,0.20571977369270011,2708,0.20571977369270011
4336,FBgn0036827,head,hs,0.12564418728447194,280,0.12564418728447194
4337,FBgn0260444,head,hs,0.12644584700994094,225,0.12644584700994094
4338,FBgn0261808,head,hs,0.15610180322500225,1124,0.15610180322500225
4339,FBgn0031391,head,hs,0.12192905161089664,89,0.12192905161089664
4340,FBgn0025352,head,hs,0.19836896279905344,2696,0.19836896279905344
4341,FBgn0052756,head,hs,0.12969004173444895,389,0.12969004173444895
4342,FBgn0032472,head,hs,0.2282338453423768,3325,0.2282338453423768
4343,FBgn0001225,head,hs,0.1288903867981753,359,0.1288903867981753
4344,FBgn0015664,head,hs,0.14844151707975198,743,0.14844151707975198
4345,FBgn0250788,head,hs,0.15076961072868572,1188,0.15076961072868572
4346,FBgn0000244,head,hs,0.16054741595151756,1673,0.16054741595151756
4347,FBgn0034814,head,hs,0.12529647699637644,311,0.12529647699637644
4348,FBgn0034259,head,hs,0.169518721538209,2254,0.169518721538209
4349,FBgn0029962,head,hs,0.19741440018840567,2742,0.19741440018840567
4350,FBgn0266464,head,hs,0.12473941268048903,121,0.12473941268048903
4351,FBgn0053169,head,hs,0.15838272262925204,1914,0.15838272262925204
4352,FBgn0267824,head,hs,0.13784992774743263,868,0.13784992774743263
4353,FBgn0250910,head,hs,0.21454941105401387,3246,0.21454941105401387
4354,FBgn0039617,head,hs,0.18114035604167655,2235,0.18114035604167655
4355,FBgn0051183,head,hs,0.163750740294982,1696,0.163750740294982
4356,FBgn0037293,head,hs,0.12167888130614846,120,0.12167888130614846
4357,FBgn0260987,head,hs,0.1381702300877951,594,0.1381702300877951
4358,FBgn0004859,head,hs,0.13353854529884496,418,0.13353854529884496
4359,FBgn0040551,head,hs,0.16206178755414746,1774,0.16206178755414746
4360,FBgn0266758,head,hs,0.15462182404773797,1747,0.15462182404773797
4361,FBgn0031533,head,hs,0.13163157789915342,62,0.13163157789915342
4362,FBgn0038893,head,hs,0.12365951973220025,286,0.12365951973220025
4363,FBgn0262057,head,hs,0.15915265439160528,1929,0.15915265439160528
4364,FBgn0027066,head,hs,0.15021317533068634,1411,0.15021317533068634
4365,FBgn0085354,head,hs,0.1325333611924201,554,0.1325333611924201
4366,FBgn0063368,head,hs,0.1384958136225527,676,0.1384958136225527
4367,FBgn0001990,head,hs,0.12835949013774117,120,0.12835949013774117
4368,FBgn0015829,head,hs,0.13517073366309892,433,0.13517073366309892
4369,FBgn0029868,head,hs,0.1672004732938792,1634,0.1672004732938792
4370,FBgn0034988,head,hs,0.12111507371145452,36,0.12111507371145452
4371,FBgn0266064,head,hs,0.13745076522383498,363,0.13745076522383498
4372,FBgn0030228,head,hs,0.13556053190311507,687,0.13556053190311507
4373,FBgn0002036,head,hs,0.14377628765313122,928,0.14377628765313122
4374,FBgn0000018,head,hs,0.11839567952693915,21,0.11839567952693915
4375,FBgn0039132,head,hs,0.16216277507210655,1686,0.16216277507210655
4376,FBgn0284256,head,hs,0.1432062266514284,480,0.1432062266514284
4377,FBgn0040964,head,hs,0.1288309616594743,430,0.1288309616594743
4378,FBgn0000394,head,hs,0.1546239035370705,1158,0.1546239035370705
4379,FBgn0085370,head,hs,0.2089674030191877,3283,0.2089674030191877
4380,FBgn0000114,head,hs,0.2215306407519877,3383,0.2215306407519877
4381,FBgn0030913,head,hs,0.2063623415993295,3014,0.2063623415993295
4382,FBgn0025394,head,hs,0.13002596363094812,329,0.13002596363094812
4383,FBgn0086604,head,hs,0.2201752690247871,3374,0.2201752690247871
4384,FBgn0038552,head,hs,0.14453688545599516,983,0.14453688545599516
4385,FBgn0032817,head,hs,0.1836261991580373,2748,0.1836261991580373
4386,FBgn0039509,head,hs,0.17210375386541288,2102,0.17210375386541288
4387,FBgn0003862,head,hs,0.20664134960235137,3071,0.20664134960235137
4388,FBgn0035917,head,hs,0.20394166771622999,1984,0.20394166771622999
4389,FBgn0033760,head,hs,0.13835857121043885,603,0.13835857121043885
