tissue,Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B,HSvsC,SYMBOL
body,FBgn0033605,-0.0914050929347896,4.014934699521404,-0.6763988018025969,0.49889048863182073,0.5770807129714781,-6.744054963959676,-0,CG9067
body,FBgn0024993,0.03557889263868397,3.1327209226859347,0.21017803438501248,0.833556919446827,0.8710424761294032,-6.74487104690116,0,CG2662
body,FBgn0032688,-0.10190031516733722,4.2158310330482776,-0.804808019621141,0.421056462069586,0.5016063939437677,-6.744949577562861,-0,CG15160
body,FBgn0029762,0.007526035901363137,3.1956366258041333,0.04217257969910206,0.9663666656519665,0.9755645061908708,-6.74532681848979,0,NAAT1
body,FBgn0051739,-0.09375419054635348,5.188584525829761,-1.0658863664238112,0.28664445627510765,0.3650927647617873,-6.7455727139976105,-0,AspRS-m
body,FBgn0266723,0.0998645474384352,4.302006235461347,0.791062431504424,0.4290310970044855,0.50944537629135,-6.74593974977618,0,Trs31
body,FBgn0263930,-0.09059104130956008,3.888577652890858,-0.5914655278889899,0.5542965826169763,0.6297605955924734,-6.746070551053954,-0,dally
body,FBgn0030243,-0.10238406698596325,4.748578786719095,-0.9566006057007496,0.33892115120548905,0.4193312305413539,-6.746113515384692,-0,CG2186
body,FBgn0031377,0.09863131318178375,4.298937189262222,0.7955581380549424,0.426413245504625,0.5071140157034691,-6.746773726179607,0,CG15356
body,FBgn0011739,-0.10167649464988315,4.520521240686613,-0.8753782346682036,0.38150657901401164,0.46219367420710034,-6.7470174132630385,-0,wts
body,FBgn0030478,-0.0709308190788569,6.943557148057259,-1.3840370453114657,0.1665504921543539,0.23081897500675055,-6.747413423848666,-0,CG1640
body,FBgn0015270,0.1008075820726928,4.434355229826162,0.8628008259924124,0.38838322885314547,0.4691241024173266,-6.7475752008408785,0,Orc2
body,FBgn0035989,-0.08542446967963224,3.9473048982585763,-0.6775069874453288,0.4981875465731317,0.5763689842126872,-6.748035962749103,-0,Atat
body,FBgn0029895,-0.02604911743424898,3.07864078765651,-0.1524719978298484,0.8788349307182446,0.9078546785544164,-6.748434506017823,-0,CG14441
body,FBgn0030240,0.09746839837691823,4.065490646690401,0.7062191584556085,0.4801601956045427,0.5600449532272921,-6.748518506841274,0,CG2202
body,FBgn0263768,0.08421381090895164,4.234535540491065,0.7194169795185739,0.471994739329753,0.5522842359132484,-6.748640431762915,0,lncRNA:CR43685
body,FBgn0031378,0.05727548050130027,3.3241975479213823,0.3554681725345779,0.7222882551300442,0.781726064143379,-6.748940742964785,0,CG15362
body,FBgn0260755,-0.011704668517196204,3.086587896573844,-0.06968338125604452,0.9444548445576961,0.9582779727585059,-6.749628133322602,-0,CG42553
body,FBgn0267336,-0.11074478578290137,4.544416629202657,-0.8758602445255421,0.38124453868994546,0.46200940919642974,-6.750828561617241,-0,Glut4EF
body,FBgn0000414,0.02453409225312564,3.119180604177872,0.12038896503843267,0.9041909589578879,0.9260177147028611,-6.750837536845369,0,Dab
body,FBgn0030206,0.06301628560557226,3.3441383526988915,0.3725262281595095,0.7095530739349072,0.7700975431912774,-6.751071702333971,0,CG2889
body,FBgn0030035,0.09388221023307342,4.55308116872093,0.8413025342821056,0.40031093510632987,0.4806362441590698,-6.752024684249938,0,PIG-T
body,FBgn0032204,0.07763892671812878,3.87180516019342,0.5969526148126917,0.5506280096017496,0.6268922768596097,-6.752267554681202,0,CG4953
body,FBgn0031643,0.09158609367059345,4.5777002890452785,0.8515570434763371,0.394594260703809,0.47507357348741264,-6.753136118096361,0,CG3008
body,FBgn0052590,-0.05222063754170492,3.2912861400910334,-0.30332631127064874,0.7616827480763059,0.8143108033408857,-6.753295678153637,-0,CG32590
body,FBgn0030089,-0.08775836429288919,5.194262390326088,-1.0436559650032275,0.2968107073643095,0.3749908187565224,-6.754985647767867,-0,AP-1gamma
body,FBgn0037327,-0.10064499555156381,5.517131447318038,-1.1444447102385429,0.25261961610708505,0.3283705466535266,-6.756067444651842,-0,PEK
body,FBgn0031286,-0.008287259233590749,3.0304398882873826,-0.04627830957905274,0.9630945124161585,0.9728586042471057,-6.756673800013644,-0,CG3862
body,FBgn0030460,0.0653418005597679,3.4609643518494266,0.4242961994478051,0.6714099134731731,0.7347631204858689,-6.757267487530177,0,Coq5
body,FBgn0023513,-0.09082911152359463,3.798453648846215,-0.6450217278975959,0.5190105427393965,0.5967849849718957,-6.757416009580492,-0,CG14803
body,FBgn0002736,-0.08883623755542924,6.006897888282723,-1.2205147435731285,0.22245929937216238,0.29458162558826817,-6.757631326581757,-0,mago
body,FBgn0025641,0.09922604362721188,4.730636307432545,0.9286399869598384,0.3532232800579218,0.43392420879149896,-6.757771188353637,0,DAAM
body,FBgn0041194,-0.1135285661035983,4.240593006182241,-0.7625088902217809,0.44587476557335304,0.5261210225032064,-6.7583832284837495,-0,Prat2
body,FBgn0027951,0.09433480995427423,5.3118938297028535,1.0585171427220748,0.2899880911267933,0.3682036618676312,-6.7595284461600365,0,MTA1-like
body,FBgn0030574,0.08823311733608863,4.063955968259436,0.6165790569406029,0.5376048363244526,0.614619159191516,-6.760247722115243,0,sbm
body,FBgn0032217,0.07924219489235895,6.28758702898833,1.2647834899065624,0.20614302293518255,0.27620140970288515,-6.760578481685976,0,CG4972
body,FBgn0025777,0.09633311088863739,5.320175825548357,1.0618105948863303,0.2884905199450505,0.3667337442796544,-6.7615826016198755,0,homer
body,FBgn0263005,-0.1028446301272905,4.042240169893668,-0.7079921397016499,0.47905879380113514,0.5594549152967971,-6.761954182149136,-0,Chpf
body,FBgn0026570,0.005492899404332174,3.177192662879304,0.03229025340161986,0.9742448253672109,0.981859612508012,-6.762608499348739,0,CG5704
body,FBgn0003744,0.08539017367615198,5.021539698944203,0.976722024460061,0.3288623615973293,0.40888615803819955,-6.762644121167643,0,trc
body,FBgn0038853,0.07597504988449533,3.6913703435333254,0.5269873504779191,0.5982793481668042,0.6701217839456489,-6.764000290100063,0,RhoGAP93B
body,FBgn0038271,0.07708733754543573,8.538854408600278,1.5393082525666157,0.12393740418187729,0.1788092079640248,-6.764564295021659,0,UQCR-C1
